id,tipo,nome,indirizzo,descrizioneIt,descrizioneEn,foursquareId,contatto - fax,contatto - url,contatto - cell,contatto - nome,contatto - email,contatto - telefono,posizione - latitudine,posizione - longitudine,foto - labelEn,foto - labelIt,foto - imageUrl
b6615215-4c94-4504-8263-005342364f42,negozio,CALZATURE LUCIA,Piazza SS.Filippo e Giacomo 5 - 38037 Predazzo (TN),"Calzature Uomo, Donna e Bambino
Orari: 9.00-12.00 , 15.30-19.30","Shoes for the whole Family
Opening Time: 9 a.m.-12 p.m. , 3.30-7.30 p.m.",,+39 (0462)502424,http://,, CALZATURE LUCIA,,+39 (0462)502424,46.312836,11.602497,,,
a037b51b-3ca1-4f3d-89d7-00bb1a78364f,negozio,HOBBY MODEL CICLI,Via Roma 2/E - 38038 Tesero,"negozio giocattoli, modellismo, hobbistica, noleggio e vendita biciclette e passeggini
orari: 8.00-12.00 , 15.30-19.00
chiuso: gioved e domenica
","Toy and hobby shop - bicycle and baby-buggies rent and shop 
opening time: 8 a.m.-12 p.m. , 3.30-7 p.m.
closed on Thursday and Sunday

",,+39 (0462)812696,http://,, HOBBY MODEL CICLI,hobymodel@virgilio.it,+39 (0462)813029,46.2884629694308,11.5052175521851,,,
50f19037-6e24-433d-866f-01bf94bc5197,negozio,RICCI E CAPRICCI,Via Roma 16/a - 38037 Predazzo (TN),"Parrucchiera Unisex
Orari: 8.30-12.00 , 14.00-19.00","Unisex Hair Stylist
Opening Time: 8.30 a.m.-12 p.m. , 2-7 p.m.",,,http://,, RICCI E CAPRICCI,,+39 (0462)502550,46.311382031258,11.602463722229,,,
6c80470a-f505-490f-8683-032be41366de,negozio,SPORT DI MONTAGNA,Via Roma 8 - 38030 Castello di Fiemme,"Orari: 9.00-12.00 , 15.30-19.00
Chiuso: Gioved Mattina e Domenica","Openin Time: 9 a.m.-12 p.m. , 3.30-7 p.m.
Close: Thursday Morning and Sunday",,,http://www.largerpaolo.it,, SPORT DI MONTAGNA,largerpaolo@yahoo.it,+39 (0462)230698,46.2808631683005,11.434782743454,,,
54495b5a-f0a7-491e-9919-047a6e5e6c0e,Supermercato/minimarket,DESPAR - PREDAZZO,Via Gino Minghetti 1 - 38037 Predazzo (TN),"Supermercato
Orari: 8.00-12.30 , 16-19
Chiuso: mercoled pomeriggio e domenica","Supermarket
Opening Time: 8.00 a.m.-12.30 a.m. , 4-7 p.m.
Closed: Wednesday afternoon and Sunday",4d1e0655dd6a236a8ef22238,+39 (0462)500086,http://,, SUPERMERCATO DESPAR,,+39 (0462)500085,46.3141906611446,11.5985584259033,,,
6c797b5f-a16f-43b7-9e77-0751df66983e,negozio,HAIR FASHION BY TERRY,Piazza Scopoli 9 - 38033 Cavalese,"Parrucchiera Unisex, Consulente d'Immagine
Orari: 8.30-12.30 , 14.30-20.30
          Venerd e Sabato 8.30-20.30","Unisex Hair Stylist, Beauty Counsellor
Opening Time: 8.30 a.m. - 12.30 p.m. , 2.30-8.30 p.m.
                        Friday and Saturday 8.30 p.m.-10.30 p.m.",,,http://,+39 (0039)6730976, HAIR FASHION BY TERRY,hairfashionbyterry@hotmail.it,+39 (0039)232045,46.2912616549324,11.4603334665298,,,
13548d5b-0859-417e-a903-07e3bde62a2f,negozio,ESTETICA GLAMOUR,"Via Giovannelli A., 18 - 38030 Carano","Estetista
orari. marted,mercoled,venerd: 9.00-12.00 , 14.00-19.00 /  gioved: 13.00-23.00 / sabato: 9.00-12.00 , 13.00-17.00
Chiuso luned e domenica","Beautician and beauty center
opening time: Tur-Wed-Fri: 9 a.m.-12 p.m. , 2-7 p.m. / Thu: 1-11 p.m. / Sat 9 a.m.-12 p.m. , 1-5 p.m.
closed on Monday and Sunday

",50f2b35072da143f82feab44,,http://www.esteticaglamourwellness.it,, ESTETICA GLAMOUR,info@esteticaglamourwellness.it,+39 (0462)871793 ,46.292541,11.442625,,,
c2825dc0-beae-4d5d-abd6-080e5f066268,negozio,GINKOLOR - CAVALESE,"Via delle Genziane, 3 - 38033 Cavalese","colorificio
orari: 8.00-12.00 , 14.00-18.00
sabato: 8.00-12.00
","Paint shop
opening time: 8 a.m.-12 p.m. , 2-6 p.m.
On saturday: 8 a.m.-12 p.m.",50f96525e889882d6d57be2f,+39 (0462)239077 ,http://www.ginkolor.it,, GINKOLOR,andrea@ginkolor.it,+39 (0462)231101 ,46.2923662622991,11.4580535888672,,,
670490ef-f0b0-4e77-9fc7-0847eb2942f2,Caseificio,CASEIFICIO SOCIALE,Via Fiamme Gialle 48 - 38037 Predazzo (TN),"Produzione e Vendita diretta di Formaggi e Derivati.
Orari: 8.00-12.00 , 15.00-19.00
Chiuso: gioved
","Pruduction and Sale of cheese
Opening time: 8 a.m.-12 p.m. , 3-7 p.m.
close: Thursday",4d2048a8f7a9a1433aa32b9f,+39 (0462)503170,http://www.puzzonedimoena.com,, CASEIFICIO SOCIALE,info@puzzonedimoena.com,+39 (0462)501287,46.3043042376079,11.5946102142334,,,
08a38ca3-0c67-40da-b50f-097b360d4773,Supermercato/minimarket,FAMIGLIA COOPERATIVA - LAGO DI TESERO,Via Lago 5/a - 38038 Tesero,"Supermercato
Orari: 7.30-12.00
Chiuso: Domenica","Supermarket
Opening Time: 7.30 a.m.-12 p.m.
Close: Sunday",50fc4757c84cbb952ec9cf71,,http://www.fcvalfiemme.it,, FAMIGLIA COOPERATIVA - LAGO DI TESERO,info@fcvalfiemme.it,+39 (0462)813066,46.2818243,11.5153823,,,
