id,tipo,nome,indirizzo,descrizioneIt,descrizioneEn,foursquareId,contatto - fax,contatto - url,contatto - cell,contatto - nome,contatto - email,contatto - telefono,posizione - latitudine,posizione - longitudine
3462cfc3-79d6-4b49-9c34-0277827d2d61,centro benessere,ARETE' CLUB-CENTRO BENESSERE c/o PISCINA COMUNALE,Via Rossini  - 38033 Cavalese,"Orario: 15.00-21.00
Chiuso: Mercoled","Opening Time: 3-9 p.m.
Close: Wednesday",,,http://www.areteclub.it,, ARETE' CLUB-CENTRO BENESSERE c/o PISCINA COMUNALE,info@areteclub.it,+39 (0462)232369,46.289234012291,11.4663362503052
3c2e72b4-c9ca-437e-b9b8-0859f5cea363,noleggio,NOLEGGIO SCI CASTELIR SERVICE c/o CASTELIR,Loc. Castelir c/o Partenza Impianti - 38037 Bellamonte (TN),"Noleggio Sci (sci alpino,snowboard,racchette da neve,bob e slitte). Noleggio Biciclette e Mountain Bikes.
Orari: luned-venerd 8.30-17, sabato-domenica 8-17",,,,http://,+39 (338)9203678, VARESCO SPORT C/O PARTENZA IMPIANTI,,+39 (0462)576262,46.3129679244245,11.6877365112305
7b14c56b-1c4a-4228-80a6-0a197910524a,museo,"MUSEO ETNOGRAFICO, CASA BEGNA",Via Leonardo Bonelli 2 - 38033 Carano,"Orari: 16.00-18.00
Girni di apertura: 27,28,29,30/12/2012 e 1,2,3,4,5,6/01/2013
Disponibili per visite guidate su prenotazione.","Opening Time: 4-6 p.m.
Open: 27,28,29,30 December 2012 and 1,2,3,4,5,6 January 2013
",,,http://www.museocasabegna.it,," MUSEO ETNOGRAFICO, CASA BEGNA",,+39 (331)1250549,46.2914729406149,11.4390420913696
6c53b109-d47c-4d88-a2a6-0b9c06330d8f,parco divertimenti/parco a tema,SUAN PARK,"Via Verdi, c/o parco giochi - 38030 Ziano di Fiemme","Parco avventura
apertura: da giugno a settembre","Adventure Park
open from June to September ",,,http://www.avisiorafting.it,, SUAN PARK,info@avisiorafting.it,+39 (347)5323839  ,46.2860459762847,11.5686678886414
095b66ac-e75b-44c9-9443-104636a52653,Stadio del ghiaccio,STADIO DEL GHIACCIO NON COPERTO,Via Stazione 4 - 38038 Lago di Tesero,"Stadio del Ghiaccio
1 -21 dicembre: mercoled, gioved e domenica 14.30-17.00; venerd e sabato 14.30-17.00 20.30-22.30
22 dicembre - 4 gennaio: tutti i giorni 10.00-12.00, 14.30-17.00, 20.30-23.00
05 gennaio - 10 febbraio: mercoled e domenica 14.30-17.00, gioved, venerd e sabato 14.30","Ice Skating Rink
1 -21 December:Wednesday,Thursday and Sunday 2.30-5 p.m.; Friday and Saturday 2.30-5 p.m. , 8.30-10.30 p.m.
22 December - 4 January: Every day 10 a.m.-12 p.m. , 2.30-5 p.m., 8.30-11 p.m.
05 January - 10 February: Wednesday and Sunday 2.30-5 p.m., Thursday, Friday and Saturday 2.30-5 p.m. , 8.30-10.30 p.m.",,,http://,, STADIO DEL GHIACCIO NON COPERTO,,+39 (0462)814064,46.2825908254408,11.5226411819458
41a70eaa-3878-4644-8963-15f17fb67e9f,centro benessere,AGRITUR PIANRESTEL-CENTRO BENESSERE,"via Gastaldo,16 - 38030 CAVALESE","Centro Benessere
Orari:15.00-21.00",,,+39 (0462)239627,http://www.agriturpianrestel.com,, AGRITUR PIANRESTEL-CENTRO BENESSERE,lasalera@libero.it,+39 (0462)340960,46.2882702070199,11.477837562561
fa2052f6-2f13-4167-a0e5-169d2621faa0,negozio,NOLEGGIO SCI SPORT VENTURA,"Loc.Piera, 4 - 38038 Tesero","Noleggio sci
orari: 9.00-12.30 , 15.00-19.30
chiuso gioved - in stagione sempre aperto","Ski-rental
opening time: 9 a.m.-12.30 p.m. , 3-7.30 p.m.
closed on Thursday (not in high season)",,,http://www.sportventura.it,+39 (0462)814131 , NOLEGGIO SCI-SPORT VENTURA -PIERA,tesero@sportventura.it,+39 (0462)813025,46.2920956726219,11.4914846420288
4e88e9b4-3d56-4c8f-8635-17efcaa13fff,parco divertimenti/parco a tema,AVISIO PARK,Masi c/o Stazione a Valle Cabinovia Cermis - 38030 CAVALESE,"Parco Avventura
Aperto da maggio a settembre",,50f4503b29a62edf094e3983,,http://www.avisiorafting.it,, AVISIO PARK,,+39 (347)5323839,46.2833471217223,11.4734172821045
d3fa8444-ec6b-481a-a20d-1da9a28af20c,Minigolf,MINIGOLF,Loc Baldiss - 38037 Predazzo (TN),,,,,http://,, MINIGOLF,,,46.3114264961786,11.615252494812
230c693d-d248-4b47-ab1d-1df031ad7ef8,Maneggio,CLUB IPPICO FONTANELLE,Via Lagorai 117 - 38037 Predazzo (TN),"Maneggio
Orari: 9.00-12.00 , 15.00-19.00",,,,http://www.clubippicofontanelle.it,, CLUB IPPICO FONTANELLE,info@clubippicofontanelle.it,+39 (335)7057094,46.2998051014322,11.5982151031494
